Alpha,Exceedances,Queue_Count,Method
0.8000000000000003,598.7083480996533,1506,Original Network
0.8000000000000003,561.0170251474609,1506,Original Network
0.8000000000000003,622.7271521401965,1506,Original Network
0.8000000000000003,559.2727428814394,1506,Original Network
0.8000000000000003,596.813672965848,1506,Original Network
0.8000000000000003,627.8429074081264,1506,Original Network
0.8000000000000003,601.933429368213,1506,Original Network
0.8000000000000003,607.2349143218723,1506,Original Network
0.8000000000000003,539.7422706987933,1506,Original Network
0.8000000000000003,575.9299043429487,1506,Original Network
0.8000000000000003,575.297563449738,1506,Original Network
0.8000000000000003,629.0384809080473,1506,Original Network
0.8000000000000003,642.3752070273823,1506,Original Network
0.8000000000000003,586.840777471213,1506,Original Network
0.8000000000000003,563.2142268881411,1506,Original Network
0.8000000000000003,530.6800135061012,1506,Original Network
0.8000000000000003,591.7327568849316,1506,Original Network
0.8500000000000003,828.3084257214707,1506,Original Network
0.8500000000000003,839.1307702829458,1506,Original Network
0.8500000000000003,826.3302889607254,1506,Original Network
0.8500000000000003,957.5149456671213,1506,Original Network
0.8500000000000003,830.7360566491018,1506,Original Network
0.8500000000000003,783.3202012332466,1506,Original Network
0.8500000000000003,832.2269146834379,1506,Original Network
0.8500000000000003,900.2028865941927,1506,Original Network
0.8500000000000003,866.3996595735741,1506,Original Network
0.8500000000000003,777.5613551917917,1506,Original Network
0.8500000000000003,866.1899053855592,1506,Original Network
0.8500000000000003,787.7147099321031,1506,Original Network
0.8500000000000003,887.3287379591744,1506,Original Network
0.8500000000000003,829.5223096962244,1506,Original Network
0.8500000000000003,834.4294263207321,1506,Original Network
0.8500000000000003,856.6909960605627,1506,Original Network
0.8500000000000003,812.7826153913127,1506,Original Network
0.8500000000000003,824.4478082956354,1506,Original Network
0.8500000000000003,884.4668426190182,1506,Original Network
0.8500000000000003,866.7888014627163,1506,Original Network
0.8500000000000003,748.2848476761537,1506,Original Network
0.8500000000000003,735.3119019640776,1506,Original Network
0.8500000000000003,866.5413614761457,1506,Original Network
0.8500000000000003,822.3884885841422,1506,Original Network
0.8500000000000003,786.1111230676468,1506,Original Network
0.8500000000000003,860.8791340313098,1506,Original Network
0.8500000000000003,830.4353493483943,1506,Original Network
0.8500000000000003,836.837024793548,1506,Original Network
0.8500000000000003,744.520599194514,1506,Original Network
0.8500000000000003,848.2936866632533,1506,Original Network
0.8500000000000003,870.0467916554887,1506,Original Network
0.8500000000000003,824.1261505174565,1506,Original Network
0.8500000000000003,834.6818916384152,1506,Original Network
0.8500000000000003,815.9185963316417,1506,Original Network
0.8500000000000003,893.5792909488578,1506,Original Network
0.8500000000000003,786.1480297784661,1506,Original Network
0.8500000000000003,820.0559580124814,1506,Original Network
0.8500000000000003,824.3862249731828,1506,Original Network
0.8500000000000003,775.3960850482605,1506,Original Network
0.8500000000000003,870.0280696367669,1506,Original Network
0.8500000000000003,733.1738451303685,1506,Original Network
0.8500000000000003,766.3187336883003,1506,Original Network
0.8500000000000003,849.792437922874,1506,Original Network
0.8500000000000003,904.0608874521932,1506,Original Network
0.8500000000000003,819.3086949826096,1506,Original Network
0.8500000000000003,810.1875745788801,1506,Original Network
0.8500000000000003,833.9836762228084,1506,Original Network
0.8500000000000003,860.7832246962696,1506,Original Network
0.8500000000000003,870.8515945472483,1506,Original Network
0.8500000000000003,911.5218266522631,1506,Original Network
0.9000000000000004,1254.5804791891749,1506,Original Network
0.9000000000000004,1167.1143197664985,1506,Original Network
0.9000000000000004,1085.0719685284973,1506,Original Network
0.9000000000000004,1265.3362559884324,1506,Original Network
0.9000000000000004,1219.8452365408905,1506,Original Network
0.9000000000000004,1146.2139951705244,1506,Original Network
0.9000000000000004,1141.782052955972,1506,Original Network
0.9000000000000004,1096.6311316094002,1506,Original Network
0.9000000000000004,1267.170578844494,1506,Original Network
0.9000000000000004,1134.8063024802218,1506,Original Network
0.9000000000000004,1045.272927012062,1506,Original Network
0.9000000000000004,1106.2344604518594,1506,Original Network
0.9000000000000004,1040.321580060714,1506,Original Network
0.9000000000000004,1169.210740841178,1506,Original Network
0.9000000000000004,1285.1232622971759,1506,Original Network
0.9000000000000004,1131.3577067272784,1506,Original Network
0.9000000000000004,1224.9571389354026,1506,Original Network
0.9000000000000004,1297.5014539144995,1506,Original Network
0.9000000000000004,1167.1383502470485,1506,Original Network
0.9000000000000004,1208.3716145672677,1506,Original Network
0.9000000000000004,1236.6788341136182,1506,Original Network
0.9000000000000004,1084.3448257143987,1506,Original Network
0.9000000000000004,1208.466330401116,1506,Original Network
0.9000000000000004,1118.3745671137044,1506,Original Network
0.9000000000000004,1160.6223153397125,1506,Original Network
0.9000000000000004,1237.1476213432761,1506,Original Network
